id,per_square_meter_price
COL_289284,34534.65428325224
COL_289305,53791.24239818456
COL_289318,56863.35651069862
COL_289354,70665.1905673232
COL_289399,70127.06232867541
COL_289428,47942.49622095392
COL_289460,72391.0976110866
COL_289493,54163.87397307319
COL_289495,59375.17331346951
COL_289749,54338.95294808377
COL_289763,130450.35097167078
COL_289778,58767.27996355943
COL_289801,33249.83535458107
COL_289971,32773.765666063766
COL_290143,59470.550745091656
COL_290169,159587.68271733288
COL_290252,35813.40061527766
COL_290336,30659.614169263034
COL_290398,48453.898221657284
COL_290403,71887.92500736068
COL_290431,30200.997696883493
COL_290466,60892.40002960528
COL_290486,51692.91432497982
COL_290497,32347.020891826567
COL_290510,64524.18605512936
COL_290559,40671.37756931124
COL_290600,116398.23140100914
COL_290602,130212.3664051599
COL_290716,57683.556002197554
COL_290717,19469.831671405613
COL_290876,41605.29999689316
COL_290966,36623.13326868548
COL_291008,31938.043590434158
COL_291021,253345.07516780347
COL_291043,58057.68125746661
COL_291190,67045.36032683126
COL_291192,53827.3566341026
COL_291274,37627.29724505836
COL_291284,62575.67349225815
COL_291397,33088.67614599007
COL_291450,65050.704966429614
COL_291738,90313.3631704253
COL_291740,34063.389246697414
COL_291825,26565.35426233096
COL_291900,59760.30463781597
COL_292045,50809.198305050675
COL_292135,54498.099181826154
COL_292258,23706.10390896788
COL_292275,29001.30081902598
COL_292279,63322.19061800754
COL_292364,50361.85455204901
COL_292417,32286.32221525816
COL_292421,63621.23704250105
COL_292501,45362.135668823365
COL_292654,123487.53118070068
COL_292906,62650.89290274612
COL_292926,38926.78911867366
COL_293123,87816.54189194852
COL_293135,31675.84147366369
COL_293496,59702.31999781662
COL_293497,52748.30259063106
COL_293588,395845.6422295329
COL_293614,146262.62287479988
COL_293631,66828.3784706037
COL_293703,38402.65771012284
COL_293773,39924.67710777212
COL_293780,29890.102334765128
COL_293783,27492.57105069848
COL_293826,34287.62636610985
COL_293889,65496.34335414284
COL_293952,57740.4672119417
COL_293956,39799.30592980641
COL_294068,59467.46282649721
COL_294101,60219.19814460545
COL_294115,44724.802590228814
COL_294143,43830.13682741922
COL_294200,36393.33615792662
COL_294245,23565.29736983656
COL_294261,27150.916517191934
COL_294293,75276.08987046145
COL_294300,53285.306872091714
COL_294350,33577.06693432402
COL_294488,58710.55280404616
COL_294525,68393.96048740012
COL_294553,48003.41893324494
COL_294558,46319.58357888579
COL_294593,44619.78999297705
COL_294691,79117.97773032301
COL_294716,30950.83629551356
COL_294729,54981.72989840005
COL_294785,81436.85634726484
COL_294917,46175.875119283606
COL_294951,17401.81176059189
COL_294975,44753.100830446565
COL_295255,37683.81933059156
COL_295327,13541.334929113853
COL_295509,38484.68570501228
COL_295595,69932.33801302403
COL_296322,36534.90663430161
COL_296509,25021.336833358146
COL_296521,203737.5175321233
COL_296756,31431.360935333072
COL_296901,49677.500887805145
COL_297293,26822.309477748277
COL_297324,56784.69816831908
COL_297326,62878.91636358115
COL_297329,41464.58818098626
COL_297441,35842.17759919798
COL_297472,29935.210666685656
COL_297631,50517.81215618849
COL_297815,81413.81766726224
COL_298020,34744.46244930237
COL_298046,46157.26108601527
COL_298052,33627.50810572048
COL_298055,131591.3957245606
COL_298064,41925.44084088588
COL_298075,65963.22276835771
COL_298099,42589.774983612166
COL_298101,54760.089983754544
COL_298102,47758.20355116507
COL_298103,47758.20355116507
COL_298104,49763.41453084517
COL_298261,42498.02578669738
COL_298459,304233.0282702312
COL_298471,38909.89049119181
COL_298481,79727.0507512998
COL_298516,58969.62605660576
COL_298532,26985.21126133599
COL_298539,48682.49920500937
COL_298593,191419.0736597952
COL_298719,25042.789077508616
COL_298724,36512.27996503194
COL_298733,61614.86442851598
COL_298817,68613.86098380278
COL_298837,54504.79691941319
COL_298968,194094.906451886
COL_299209,83094.76138631745
COL_299221,240300.94258121296
COL_299361,36441.99693036884
COL_299366,46471.53428760001
COL_299450,73948.68599980974
COL_299454,62753.74372375195
COL_299455,56651.622739461156
COL_299459,65150.5148487859
COL_299464,47922.77722561783
COL_299468,53513.17245210001
COL_299486,57925.23743722714
COL_299491,67912.9382569737
COL_299497,57660.60412442257
COL_299499,33443.18742853998
COL_299501,64681.43530948768
COL_299540,40543.278454536405
COL_299615,53436.670492674515
COL_299659,265028.9996751669
COL_299678,127721.77820391186
COL_299795,31837.94530452953
COL_299818,46644.41472324885
COL_299819,63410.36109553978
COL_299820,65247.185250852555
COL_299960,42783.96734257848
COL_300095,67902.99099053405
COL_300108,168649.0662467169
COL_300125,27571.314497144653
COL_300144,188033.6031275167
COL_300225,53491.31487588724
COL_300305,153609.02978650556
COL_300423,36007.74600543226
COL_300491,57404.34288842922
COL_300562,36382.30005705389
COL_300747,38100.78473797028
COL_300816,61770.32305489881
COL_300942,59525.693217998145
COL_300959,44516.45455287907
COL_300962,61178.30972021737
COL_301220,34101.53302211255
COL_301285,43576.84061147098
COL_301290,51445.95830188615
COL_301303,54079.103227191445
COL_301367,29174.1138089146
COL_301368,30291.755625221715
COL_301378,66431.2866831027
COL_301401,64652.812481796725
COL_301444,21507.944642602797
COL_301445,43420.86264201004
COL_301574,115528.03255042036
COL_301649,33282.824938551996
COL_301669,63667.89406076742
COL_301670,45129.178522428185
COL_301679,54232.380967953715
COL_301709,46530.104957746415
COL_301757,156278.06823501465
COL_301819,31802.581768209853
COL_301820,38121.96813522767
COL_301821,43624.60971650581
COL_301822,39082.84064683055
COL_301823,36353.45211217554
COL_301843,33781.16997980519
COL_301976,78757.77674428727
COL_301986,42253.92809009039
COL_302097,72397.22860280189
COL_302111,66420.75263530025
COL_302139,46746.9385783366
COL_302293,45550.51280936379
COL_302294,36083.81262084022
COL_302428,59628.05515839959
COL_302465,30573.017002431043
COL_302497,91111.91940452288
COL_302548,41027.3070655375
COL_302597,37211.69024723078
COL_302726,44285.5965801826
COL_302745,62919.54446934396
COL_302873,49137.99804596122
COL_302926,52711.5185282885
COL_302986,36858.212324357235
COL_302987,43870.056722435096
COL_302994,89699.92841463571
COL_303002,64302.66143843168
COL_303004,37547.83094367767
COL_303007,32097.57382749073
COL_303069,61369.21964082296
COL_303147,28288.836920966416
COL_303265,45078.551477923604
COL_303285,54512.53780537183
COL_303366,34129.19417152002
COL_303405,111255.1569023162
COL_303564,71729.40666350692
COL_303569,30381.4526021695
COL_303618,66027.2666240817
COL_303623,53230.96466589677
COL_303624,53230.96466589677
COL_303625,48143.84026500104
COL_303626,36437.82714717551
COL_303627,56026.366802483564
COL_303637,28511.463013774897
COL_303638,42648.72634986891
COL_304041,41778.24977122782
COL_304147,567191.7013197417
COL_304255,204957.75426274698
COL_304280,61768.46430734556
COL_304320,48248.0526523155
COL_304322,52802.2004358895
COL_304323,38191.38085451227
COL_304324,24953.527884205156
COL_304325,38191.38085451227
COL_304367,36963.65817704979
COL_304546,76063.84764834208
COL_304550,60988.79777911873
COL_304552,78356.30860691778
COL_304561,38369.72025001769
COL_304585,65493.35286384435
COL_304853,68663.8400569746
COL_304902,31436.890154095232
COL_304978,62975.18439056754
COL_304984,34730.72934995279
COL_305002,63402.537423780355
COL_305017,54829.614454888244
COL_305038,36140.9464896761
COL_305057,35555.61302719344
COL_305058,36504.4778158032
COL_305059,36504.4778158032
COL_305114,323345.59678931255
COL_305373,75861.02754715068
COL_305382,70113.38131840086
COL_305383,66905.16050015768
COL_305384,72656.32618180662
COL_305385,72759.50416322725
COL_305386,71305.13165457173
COL_305387,72656.32618180662
COL_305388,68841.51751930118
COL_305413,50679.16625634914
COL_305607,58090.24836604554
COL_305652,62830.02640659847
COL_305726,140455.66327583345
COL_305896,94917.73094529798
COL_305924,47772.43051263071
COL_305926,47741.03710937831
COL_306033,65746.18005426986
COL_306088,70755.35210216806
COL_306141,35092.24281388578
COL_306143,43675.21025164253
COL_306144,47326.06833200253
COL_306151,65062.15043601707
COL_306153,47614.47065854678
COL_306154,45121.29127179055
COL_306155,34366.162107644785
COL_306206,55893.79318571871
COL_306621,52589.34291201176
COL_306728,51820.73674648119
